title,original_title,budget,genres,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
Monday,Monday,0,"['Drama', 'Romance']",en,"['English', 'Greek']",https://www.monday.movie,"A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",10.037,116,0,2020-09-11,6.6,160,"['Greece', 'United Kingdom', 'United States of America']"
Bad Boys: Ride or Die,Bad Boys: Ride or Die,100000000,"['Action', 'Crime', 'Thriller', 'Comedy']",en,['English'],https://www.badboys.movie,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",1444.485,115,289202067,2024-06-05,6.999,439,['United States of America']
Future People: The Family Of Donor 5114,Future People: The Family of Donor 5114,0,['Documentary'],en,['English'],,"Filmed over eight years, Rothman follows a group of adolescents who discover that they were conceived from the same sperm donor, forming an unlikely family of familiar strangers. There are presently 37 half-siblings, and counting. This documentary explores the complexities of alternative conception while defining a new realm of modern family.",1.009,102,0,2021-04-09,0.0,0,['United States of America']
Luz,Luz,0,"['Horror', 'Mystery', 'Thriller']",de,"['German', 'Spanish', 'English']",https://yellowveilpictures.com/luz/,"Luz, a young cabdriver, drags herself into the brightly lit entrance of a run-down police station. A demonic entity follows her, determined to finally be close to the woman it loves.",3.566,70,0,2019-03-21,5.1,65,['Germany']
Happily,Happily,0,"['Comedy', 'Romance', 'Science Fiction', 'Thriller']",en,['English'],https://www.commonwall.com/films/happily,"Tom and Janet have been happily married for years. But a visit from a mysterious stranger leads to a dead body, a lot of questions, and a tense couples' trip with friends who may not actually be friends at all.",9.516,96,0,2021-03-19,5.748,109,['United States of America']
This Is the Life,This Is the Life,0,"['Documentary', 'Music']",en,['English'],http://www.goodlifelove.com,"In 1989, a collective of young hip hop artists gathered at a health food café in South Central Los Angeles. Their mandate? To reject gang culture and expand the musical boundaries of hip hop. DuVernay's documentary chronicles the historic legacy of the Good Life Cafe — the open mic nights that became an L.A. institution, the eclectic array of talented young MCs that emerged there, the alternative hip hop movement they developed, and their worldwide influence on the artform.",4.056,97,0,2008-02-08,6.4,7,['United States of America']
To All the Boys: Always and Forever,To All the Boys: Always and Forever,0,"['Romance', 'Comedy', 'Drama']",en,"['English', 'Korean']",https://www.netflix.com/title/81040397,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,37.477,115,0,2021-02-12,7.57,1851,['United States of America']
Young Hearts,Young Hearts,0,"['Drama', 'Family']",nl,"['Dutch', 'French']",https://www.polar-bear.tv/young-hearts,"Fourteen-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.",17.72,97,0,2024-10-10,0.0,0,"['Belgium', 'Netherlands']"
Little Fish,Little Fish,0,"['Romance', 'Science Fiction', 'Drama']",en,['English'],https://www.littlefish.movie,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,12.821,101,39053,2021-02-05,7.008,186,"['Canada', 'United States of America']"
Two of Us,Two of Us,0,"['Drama', 'Thriller']",tl,['Tagalog'],,"Empress Schuck and Ejay Falcon star in this psychological thriller as two people who find each other while trying to make a living in a foreign country. But as time passes, underneath the sweet moments lie a toxic relationship that sparks violent tendencies.",1.834,103,0,2024-04-10,0.0,0,['Philippines']
Atlantis,Atlantis,0,"['Music', 'Documentary']",fr,['French'],,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it.",8.484,74,138,1991-08-21,6.2,45,"['France', 'Italy']"
